pid,category name,Brand,Title,Rating,number reviews,URL,Price,Currency
9200000098790842,Muziekinstrumenten,D'Addario,D'Addario akoestische gitaar snaren EJ16 Phosphor Bronze Light 12-53,5.0,1,/nl/nl/p/d-addario-akoestische-gitaar-snaren-ej16-phosphor-bronze-light-12-53/9200000098790842/,0.0,€
9200000040256819,Muziekinstrumenten,Ernie Ball,Ernie Ball 2221 - Gitaar Snaren - Maat 0.10,4.3,8,/nl/nl/p/ernie-ball-2221-gitaar-snaren-maat-0-10/9200000040256819/,0.0,€
9200000131454493,Muziekinstrumenten,ECOSTARE,LUXE Aluminium Gitaar Capo - Professionele Capo -  Gitaar Klem - Gitaarklem - Guitar Capo - Elektrische gitaar -Gitaarcapo - Akoestische Gitaar - Klassieke Gitaar - Capodaster - ZWART,2.8,5,/nl/nl/p/luxe-aluminium-gitaar-capo-professionele-capo-gitaar-klem-gitaarklem-guitar-capo-elektrische-gitaar-gitaarcapo-akoestische-gitaar-klassieke-gitaar-capodaster-zwart/9200000131454493/,0.0,€
9200000115552726,Muziekinstrumenten,\xc3\x81engus,"12 Plectrums in aluminium doosje - Celluloid plectrum set - thin 0.46, medium 0.71 en thick 0.96 mm",3.8,9,/nl/nl/p/12-plectrums-in-aluminium-doosje-celluloid-plectrum-set-thin-0-46-medium-0-71-en-thick-0-96-mm/9200000115552726/,7.95,€
9200000087700224,Muziekinstrumenten,Mahalo,Ukelele Kahiko Series MK1-TBR - Mahalo,4.7,7,/nl/nl/p/ukelele-kahiko-series-mk1-tbr-mahalo/9200000087700224/,25.5,€
9300000003020897,Muziekinstrumenten,RYTMZ\xc2\xae,RYTMZ Handpan Drum | 28 cm | Koper | Meditatie | Klanktherapie | Sound Healing | Handpan | Steel tongue drum | Goud,4.4,29,/nl/nl/p/rytmz-handpan-drum-28-cm-koper-meditatie-klanktherapie-sound-healing-handpan-steel-tongue-drum-goud/9300000003020897/,157.0,€
9200000123034319,Muziekinstrumenten,Wittner,"M 832 Taktell Piccolo ivoor, Kunststofbehuizing",0.0,0,/nl/nl/p/m-832-taktell-piccolo-ivoor-kunststofbehuizing/9200000123034319/,58.0,€
9300000052145961,Muziekinstrumenten,Tolu,Premium - Set van 6 Gitaarsnaren voor Klassieke Akoestische Gitaar - Snarenset - Nylon Snaren - 6 Snaren - Europese Kwaliteit,5.0,1,/nl/nl/p/premium-set-van-6-gitaarsnaren-voor-klassieke-akoestische-gitaar-snarenset-nylon-snaren-6-snaren-europese-kwaliteit/9300000052145961/,0.0,€
9300000040057409,Muziekinstrumenten,\xc3\x81engus,"Universele Gitaar Muurbeugel set van twee om gitaar op te hangen \xe2\x80\x93 Gitaarhaak, Gitaarhouder, Muurhaak voor gitaar",4.2,33,/nl/nl/p/universele-gitaar-muurbeugel-set-van-twee-om-gitaar-op-te-hangen-gitaarhaak-gitaarhouder-muurhaak-voor-gitaar/9300000040057409/,12.95,€
9200000095241224,Muziekinstrumenten,Merkloos,Zwarte Lederen Plectrumhouder Gitaar - Sleutelhanger,0.0,0,/nl/nl/p/zwarte-lederen-plectrumhouder-gitaar-sleutelhanger/9200000095241224/,3.99,€
